node,volatility,eign,closeness,betwness,centrality,community,density,name,type
13,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Agutter, J.",incoming
1129,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Syroid, N.",outandin
290,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Drews, F.",outandin
1242,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Westenskow, D.",outandin
91,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Bermudez, J.",outandin
1109,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,38,1.0,"Strayer, D.",outandin
82,2,5.875563122999195e-27,0.010245901639344262,0.0,2,47,0.4666666666666667,"Bederson, B.B.",outgoing
430,2,5.875563122999195e-27,0.010245901639344262,0.0,2,47,0.4666666666666667,"Grosjean, J.",outandin
394,2,5.875563122999195e-27,0.010245901639344262,0.0,2,47,0.4666666666666667,"Ghoniem, M.",outandin
170,2,5.875563122999195e-27,0.010245901639344262,0.0,2,47,0.4666666666666667,"Castagliola, P.",outandin
909,2,8.309301055124679e-27,0.014637002341920374,0.00020238818053025704,3,47,0.4666666666666667,"Plaisant, C.",incoming
324,1,8.309301055124679e-27,0.014637002341920374,0.00020238818053025704,3,47,0.4666666666666667,"Fekete, J.-D.",incoming
701,2,1.8083434498845605e-20,0.013412816691505215,0.0,1,39,0.42857142857142855,"Li, Q.",outandin
996,2,3.042834493993811e-20,0.014754098360655736,0.0,2,39,0.42857142857142855,"Saini, V.",outandin
917,2,3.042834493993811e-20,0.014754098360655736,0.0,2,39,0.42857142857142855,"Prabhakar, S.",outandin
1005,2,2.6817690819468283e-20,0.014754098360655736,0.0,2,39,0.42857142857142855,"Saraiya, P.",incoming
293,2,2.6817690819468283e-20,0.014754098360655736,0.0,2,39,0.42857142857142855,"Duca, K.",outandin
214,2,3.7903855720556964e-20,0.016393442622950817,1.6865681710854754e-05,3,39,0.42857142857142855,"Conklin, N.",outandin
839,2,5.552343983758592e-20,0.02459016393442623,0.0003879106793496593,6,39,0.42857142857142855,"North, C.",incoming
493,2,3.945113722029823e-16,0.014754098360655736,0.0,2,12,0.5238095238095238,"Herman, I.",outandin
756,2,3.945113722029823e-16,0.014754098360655736,0.0,2,12,0.5238095238095238,"Marshall, M.S.",outandin
193,4,5.184080062760129e-16,0.014754098360655736,0.0,2,12,0.5238095238095238,"Chiricota, Y.",outandin
49,2,7.212537656538444e-16,0.016393442622950817,0.0,3,12,0.5238095238095238,"Auber, D.",incoming
192,2,7.212537656538444e-16,0.016393442622950817,0.0,3,12,0.5238095238095238,"Chircota, Y.",outandin
581,2,8.350476405040678e-16,0.018442622950819672,3.373136342170951e-05,4,12,0.5238095238095238,"Jourdan, F.",outandin
782,2,1.0082431821313858e-15,0.02459016393442623,0.00030358227079538557,6,12,0.5238095238095238,"Melancon, G.",outandin
1041,2,3.243243883418644e-21,0.008196721311475409,0.0,1,24,0.42857142857142855,"Seo, J.",incoming
1056,1,1.0047137519035974e-20,0.011349306431273645,0.00016865681710854754,2,24,0.42857142857142855,"Shneiderman, B.",
1227,2,2.788144977360478e-20,0.014754098360655736,0.00026985090737367606,2,24,0.42857142857142855,"Wattenberg, M.",incoming
1299,2,6.952198616226305e-20,0.012295081967213115,0.0,3,24,0.42857142857142855,"Yee, K.-P.",outandin
