Unnamed: 0,node,volatility,eign,closeness,betwness,centrality,community,density,name,type,period,type_ord,is_stable,type_cat
113,741,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,36,1.0,"MacEachren, A.M.",stable,1995-1999,2,1,stable
114,903,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,36,1.0,"Pickle, L.",stable,1995-1999,2,1,stable
115,118,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,36,1.0,"Boscoe, F.P.",outgoing,1995-1999,1,0,outgoing
116,473,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,36,1.0,"Haug, D.",outgoing,1995-1999,1,0,outgoing
119,1134,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,37,1.0,"Tal, A.",stable,1995-1999,2,1,stable
120,808,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,37,1.0,"Moses, Y.",outgoing,1995-1999,1,0,outgoing
121,912,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,37,1.0,"Polunsky, Z.",outgoing,1995-1999,1,0,outgoing
122,1182,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,37,1.0,"Ulitsky, L.",outgoing,1995-1999,1,0,outgoing
123,606,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,38,1.0,"Keim, D.A.",stable,1995-1999,2,1,stable
124,40,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,38,1.0,"Ankerst, M.",outgoing,1995-1999,1,0,outgoing
125,87,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,38,1.0,"Berchtold, S.",outgoing,1995-1999,1,0,outgoing
127,647,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,39,1.0,"Korn, J.",stable,1995-1999,2,1,stable
128,42,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,39,1.0,"Appel, A.W.",outgoing,1995-1999,1,0,outgoing
129,1074,3,3.1126024218336992e-30,0.0058479532163742,0.0,1,40,1.0,"Smith, G.",outgoing,1995-1999,1,0,outgoing
130,360,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,40,1.0,"Frecon, E.",outgoing,1995-1999,1,0,outgoing
132,1186,1,1.5298754229909504e-26,0.0077972709551656,0.0,1,41,0.6666666666666666,"Van Selow, E.R.",outgoing,1995-1999,1,0,outgoing
154,1337,2,1.5298754229909504e-26,0.0077972709551656,0.0,1,41,0.6666666666666666,"van de Wetering, H.",stable,1995-1999,2,1,stable
131,1336,0,2.1635705719350772e-26,0.0116959064327485,6.879944960440316e-05,2,41,0.6666666666666666,"van Wijk, J.J.",stable,1995-1999,2,1,stable
133,462,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,42,1.0,"Hanrahan, P.",stable,1995-1999,2,1,stable
134,1104,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,42,1.0,"Stolte, C.",stable,1995-1999,2,1,stable
135,116,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,42,1.0,"Bosch, R.",outgoing,1995-1999,1,0,outgoing
136,975,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,42,1.0,"Rosenblum, M.",outgoing,1995-1999,1,0,outgoing
137,82,2,3.1126024218336992e-30,0.0058479532163742,0.0,1,43,1.0,"Bederson, B.B.",stable,1995-1999,2,1,stable
138,109,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,43,1.0,"Boltman, A.",outgoing,1995-1999,1,0,outgoing
139,964,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,44,1.0,"Rodden, K.",outgoing,1995-1999,1,0,outgoing
140,74,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,44,1.0,"Basalaj, W.",outgoing,1995-1999,1,0,outgoing
141,1065,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,44,1.0,"Sinclair, D.",outgoing,1995-1999,1,0,outgoing
142,1268,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,44,1.0,"Wood, K.",outgoing,1995-1999,1,0,outgoing
143,313,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,45,1.0,"Espinosa, O.J.",outgoing,1995-1999,1,0,outgoing
144,491,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,45,1.0,"Hendrickson, C.",outgoing,1995-1999,1,0,outgoing
145,384,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,45,1.0,"Garrett, J.H., Jr.",outgoing,1995-1999,1,0,outgoing
0,954,2,2.505407101193672e-47,0.0040983606557377,0.0,1,0,1.0,"Ribler, R.",outandin,2000-2004,0,0,outandin
1,5,2,2.505407101193672e-47,0.0040983606557377,0.0,1,0,1.0,"Abrams, M.",outandin,2000-2004,0,0,outandin
2,859,2,2.505407101193672e-47,0.0040983606557377,0.0,1,1,1.0,"Overbye, T.J.",outandin,2000-2004,0,0,outandin
3,1229,2,2.505407101193672e-47,0.0040983606557377,0.0,1,1,1.0,"Weber, J.D.",outandin,2000-2004,0,0,outandin
202,34,2,2.615767064251886e-12,0.0163934426229508,0.0,4,2,1.0,"Andrews, K.",outandin,2000-2004,0,0,outandin
203,418,2,2.615767064251886e-12,0.0163934426229508,0.0,4,2,1.0,"Granitzer, M.",outandin,2000-2004,0,0,outandin
204,616,2,2.615767064251886e-12,0.0163934426229508,0.0,4,2,1.0,"Kienreich, W.",outandin,2000-2004,0,0,outandin
205,993,2,2.615767064251886e-12,0.0163934426229508,0.0,4,2,1.0,"Sabol, V.",outandin,2000-2004,0,0,outandin
206,629,2,2.615767064251886e-12,0.0163934426229508,0.0,4,2,1.0,"Klieber, W.",outandin,2000-2004,0,0,outandin
9,665,2,2.505407101193672e-47,0.0040983606557377,0.0,1,3,1.0,"Lalanne, D.",outandin,2000-2004,0,0,outandin
10,921,2,2.505407101193672e-47,0.0040983606557377,0.0,1,3,1.0,"Pu, P.",outandin,2000-2004,0,0,outandin
11,989,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Russo dos Santos, C.",outandin,2000-2004,0,0,outandin
12,429,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Gros, P.",outandin,2000-2004,0,0,outandin
13,2,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Abel, P.",outandin,2000-2004,0,0,outandin
14,727,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Loisel, D.",outandin,2000-2004,0,0,outandin
15,1171,2,2.4296779891607328e-05,0.0204918032786885,0.0,5,4,1.0,"Trichaud, N.",outandin,2000-2004,0,0,outandin
